ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",13/642,83/18986,0.1566265060240964,4.6319483541643205,6.203533576975199,4.019352959858614e-6,0.007026128513361525,0.006515919706179542,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/SEMA4A,13
GO:0002287,alpha-beta T cell activation involved in immune response,13/642,84/18986,0.15476190476190477,4.576806111852841,6.146203795703751,4.610320546825148e-6,0.007026128513361525,0.006515919706179542,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/SEMA4A,13
GO:0002293,alpha-beta T cell differentiation involved in immune response,13/642,84/18986,0.15476190476190477,4.576806111852841,6.146203795703751,4.610320546825148e-6,0.007026128513361525,0.006515919706179542,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/SEMA4A,13
GO:0045785,positive regulation of cell adhesion,37/642,499/18986,0.07414829659318638,2.1928030515860386,5.05139799622406,7.2668247443388865e-6,0.007750464103810347,0.0071876569991592,PTPRJ/CHST4/CITED2/ITGA3/DOCK5/HLA-DRA/PLPP3/FUT1/VTCN1/LGALS1/NEDD9/SMAD7/LCK/FUT3/SAA1/HLA-DQB1/EBI3/TNFRSF18/CEACAM6/RET/LGALS9/HLA-DRB1/NLRP3/GLI2/NR4A3/ADGRG1/HLA-DPB1/CCN1/SELP/IL23A/HLA-DQA1/KIF26B/SFRP1/FBLN1/EMILIN2/IL7R/MEGF10,37
GO:0043367,"CD4-positive, alpha-beta T cell differentiation",14/642,102/18986,0.13725490196078433,4.059067863905687,5.795194221787395,8.47601061221604e-6,0.007750464103810347,0.0071876569991592,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/RSAD2/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/SEMA4A,14
GO:0046632,alpha-beta T cell differentiation,16/642,133/18986,0.12030075187969924,3.557679244841075,5.537419935486012,1.1059218095577002e-5,0.008388071743093148,0.007778964171197495,ENTPD7/FOSL2/HLA-DRA/LGALS1/SMAD7/PTGER4/RSAD2/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/BCL11B/SEMA4A,16
GO:0002292,T cell differentiation involved in immune response,13/642,92/18986,0.14130434782608695,4.178822971691724,5.717735942888353,1.2842629527920393e-5,0.008388071743093148,0.007778964171197495,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/SEMA4A,13
GO:0042093,T-helper cell differentiation,12/642,81/18986,0.14814814814814814,4.381216107072804,5.704963782178677,1.6891292160392275e-5,0.009653373469664186,0.008952384845007906,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/SEMA4A,12
GO:0030278,regulation of ossification,15/642,125/18986,0.12,3.5487850467289714,5.34849572996426,2.1326172612922632e-5,0.010833695687364697,0.010046996875421328,ACVR1/KREMEN2/PKDCC/SMAD7/PTGER4/GPM6B/CCN3/FAM20C/MGP/OSR1/SMAD6/SIX2/CCN1/CALCR/SFRP1,15
GO:0032305,positive regulation of icosanoid secretion,6/642,20/18986,0.3,8.87196261682243,6.589249338354621,3.7727058966252426e-5,0.01724881135937061,0.015996273001691028,PTGES/MAP2K6/NTSR1/PLA2G4A/PLA2R1/PLA2G3,6
GO:0032303,regulation of icosanoid secretion,6/642,22/18986,0.2727272727272727,8.065420560747663,6.203119944252489,6.854758661378246e-5,0.028114059473458252,0.026072531095245623,PTGES/MAP2K6/NTSR1/PLA2G4A/PLA2R1/PLA2G3,6
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,23/642,280/18986,0.08214285714285714,2.429227859368046,4.507293281139565,8.575599023955486e-5,0.028114059473458252,0.026072531095245623,ACVR1/L1CAM/CLDN1/ITGA3/DSC2/CLDN3/MPZL2/PLXNB3/IGSF9/MYPN/CEACAM6/RET/FLRT3/CLDN16/CLDN2/PCDH7/SELL/PCDH20/SELP/PCDHGA1/PCDHA7/ELFN2/IL1RN,23
GO:0030217,T cell differentiation,25/642,320/18986,0.078125,2.3104069314641746,4.422637397590773,9.62812312574823e-5,0.028114059473458252,0.026072531095245623,LMBR1L/ENTPD7/TCF7/FOSL2/HLA-DRA/LGALS1/MR1/SMAD7/PTGER4/LCK/CHD7/RSAD2/CYP26B1/LGALS9/HLA-DRB1/LEPR/NLRP3/GLI2/RORC/STAT4/RORA/IL23A/BCL11B/SEMA4A/IL7R,25
GO:0046598,positive regulation of viral entry into host cell,5/642,15/18986,0.3333333333333333,9.85773624091381,6.420207364659829,9.85751962470782e-5,0.028114059473458252,0.026072531095245623,TMPRSS4/LGALS1/LGALS9/HLA-DRB1/TMPRSS2,5
GO:0075294,positive regulation by symbiont of entry into host,5/642,15/18986,0.3333333333333333,9.85773624091381,6.420207364659829,9.85751962470782e-5,0.028114059473458252,0.026072531095245623,TMPRSS4/LGALS1/LGALS9/HLA-DRB1/TMPRSS2,5
GO:2000193,positive regulation of fatty acid transport,6/642,24/18986,0.25,7.3933021806853585,5.862928198977772,1.1672137333980613e-4,0.028114059473458252,0.026072531095245623,PTGES/MAP2K6/NTSR1/PLA2G4A/PLA2R1/PLA2G3,6
GO:0035710,"CD4-positive, alpha-beta T cell activation",14/642,129/18986,0.10852713178294573,3.2094955202975197,4.7106135165656156,1.2047404906225099e-4,0.028114059473458252,0.026072531095245623,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/RSAD2/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/SEMA4A,14
GO:0046631,alpha-beta T cell activation,18/642,196/18986,0.09183673469387756,2.7159069235170703,4.517354426162669,1.2387378426779896e-4,0.028114059473458252,0.026072531095245623,ENTPD7/FOSL2/HLA-DRA/LGALS1/ADORA2A/SMAD7/PTGER4/RSAD2/EBI3/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IL23A/BCL11B/SEMA4A,18
GO:0052547,regulation of peptidase activity,26/642,346/18986,0.07514450867052024,2.2222642392811482,4.292457409998651,1.3235159209890192e-4,0.028114059473458252,0.026072531095245623,SERPINB8/CDKN2D/CLDN3/GAS6/A2ML1/TFPI/RARRES1/LCK/COL6A3/S100A9/XDH/SERPINF1/SLPI/LXN/BIRC3/RET/TIMP3/CLEC7A/WFDC2/LGALS9/HMSD/CASP1/PI3/SERPINA5/IFI16/CST1,26
GO:0045444,fat cell differentiation,21/642,251/18986,0.08366533864541832,2.474252522619801,4.398531287381842,1.3309835896982926e-4,0.028114059473458252,0.026072531095245623,CEBPD/FOSL2/DLK2/ADIRF/RNASEL/CCDC3/HMGA2/RARRES2/ARID5B/RETREG1/TGFB1I1/MB/LRG1/NR4A2/ZBTB7C/NR4A3/SMAD6/RORC/RORA/SFRP1/ADGRF5,21
GO:0002399,MHC class II protein complex assembly,5/642,16/18986,0.3125,9.241627725856699,6.169715147583765,1.3940425444590462e-4,0.028114059473458252,0.026072531095245623,HLA-DRA/HLA-DQB1/HLA-DRB1/HLA-DPB1/HLA-DQA1,5
GO:0002503,peptide antigen assembly with MHC class II protein complex,5/642,16/18986,0.3125,9.241627725856699,6.169715147583765,1.3940425444590462e-4,0.028114059473458252,0.026072531095245623,HLA-DRA/HLA-DQB1/HLA-DRB1/HLA-DPB1/HLA-DQA1,5
GO:0061448,connective tissue development,23/642,290/18986,0.07931034482758621,2.3454613814588035,4.319382654799789,1.4495322186892129e-4,0.028114059473458252,0.026072531095245623,WNT9A/FOSL2/SORL1/PKDCC/WT1/HMGA2/COL1A1/SMAD7/KLF7/ARID5B/PBXIP1/CCN3/CD34/EVC/MGP/OSR1/SIX2/MATN3/RORC/CCN1/MMP13/NKX3-2/PDGFRB,23
GO:0048002,antigen processing and presentation of peptide antigen,10/642,72/18986,0.1388888888888889,4.107390100380754,4.941924743366712,1.4758036469006956e-4,0.028114059473458252,0.026072531095245623,MICB/HLA-DRA/MR1/MFSD6/ACE/HLA-DQB1/ULBP1/HLA-DRB1/HLA-DPB1/HLA-DQA1,10
GO:0035988,chondrocyte proliferation,6/642,26/18986,0.23076923076923078,6.824586628324946,5.559790284046716,1.8847475647131045e-4,0.03376509603690363,0.03131321242267528,FOSL2/HMGA2/SMAD7/PBXIP1/CCN3/SIX2,6
GO:0072224,metanephric glomerulus development,5/642,17/18986,0.29411764705882354,8.698002565512185,5.940268668300263,1.9201498183715973e-4,0.03376509603690363,0.03131321242267528,WT1/CD34/RET/OSR1/PDGFRB,5
GO:0022409,positive regulation of cell-cell adhesion,25/642,336/18986,0.0744047619047619,2.200387553775404,4.153148866283117,2.0622054978289013e-4,0.034526295676632235,0.0320191368479704,CHST4/CITED2/HLA-DRA/PLPP3/VTCN1/LGALS1/SMAD7/LCK/FUT3/HLA-DQB1/EBI3/CEACAM6/LGALS9/HLA-DRB1/NLRP3/GLI2/NR4A3/HLA-DPB1/SELP/IL23A/HLA-DQA1/KIF26B/EMILIN2/IL7R/MEGF10,25
GO:0002286,T cell activation involved in immune response,14/642,136/18986,0.10294117647058823,3.044300897929265,4.475941381495543,2.1144713012810642e-4,0.034526295676632235,0.0320191368479704,ENTPD7/HLA-DRA/LGALS1/SMAD7/PTGER4/LGALS9/HLA-DRB1/NLRP3/RORC/STAT4/RORA/IFNE/IL23A/SEMA4A,14
GO:0030198,extracellular matrix organization,25/642,339/18986,0.07374631268436578,2.1809150975473033,4.104306945298571,2.3623546660052553e-4,0.03724374321715872,0.03453925442711132,KLK7/ADAMTS15/MMP1/LTBP4/MPZL3/LOXL1/WT1/GAS6/COL5A2/COL1A1/PBXIP1/ZNF469/GPM6B/TNFRSF1B/ENG/COL12A1/KLK5/ADAMTS4/MATN3/CCN1/MMP13/LOXL4/FBLN1/MMP28/GFAP,25
GO:0043062,extracellular structure organization,25/642,340/18986,0.07352941176470588,2.1745006413780463,4.0881391602888355,2.4706641561974836e-4,0.03765292174044965,0.03491872007425777,KLK7/ADAMTS15/MMP1/LTBP4/MPZL3/LOXL1/WT1/GAS6/COL5A2/COL1A1/PBXIP1/ZNF469/GPM6B/TNFRSF1B/ENG/COL12A1/KLK5/ADAMTS4/MATN3/CCN1/MMP13/LOXL4/FBLN1/MMP28/GFAP,25
GO:0045229,external encapsulating structure organization,25/642,341/18986,0.07331378299120235,2.1681238066525976,4.072027146612305,2.583343498892492e-4,0.038097715758979384,0.0353312149645828,KLK7/ADAMTS15/MMP1/LTBP4/MPZL3/LOXL1/WT1/GAS6/COL5A2/COL1A1/PBXIP1/ZNF469/GPM6B/TNFRSF1B/ENG/COL12A1/KLK5/ADAMTS4/MATN3/CCN1/MMP13/LOXL4/FBLN1/MMP28/GFAP,25
GO:0032526,response to retinoic acid,12/642,107/18986,0.11214953271028037,3.316621538999039,4.49555462852361,2.6665067897798343e-4,0.038097715758979384,0.0353312149645828,MICB/WNT9A/CDKN2D/PTK6/ABCA1/COL1A1/CYP26B1/SERPINF1/TNC/RET/AQP3/OSR1,12
GO:0071715,icosanoid transport,9/642,64/18986,0.140625,4.158732476635514,4.735273929854277,2.8578947237710244e-4,0.039594832354791276,0.0367196170569368,SLCO3A1/PTGES/MAP2K6/NTSR1/ABCC3/ACE/PLA2G4A/PLA2R1/PLA2G3,9
GO:0030098,lymphocyte differentiation,29/642,426/18986,0.06807511737089202,2.0131996548345104,3.956732048737053,3.0253130039917877e-4,0.04068156192426604,0.03772743275566229,PTPRJ/LMBR1L/ENTPD7/TCF7/FOSL2/HLA-DRA/LGALS1/MR1/GAS6/SMAD7/PTGER4/LCK/CHD7/RSAD2/CYP26B1/LGALS9/HLA-DRB1/LEPR/NLRP3/GLI2/RORC/NFAM1/STAT4/RORA/IL23A/SFRP1/BCL11B/SEMA4A/IL7R,29
GO:0002697,regulation of immune effector process,28/642,410/18986,0.06829268292682927,2.0196337664311224,3.9046834376083854,3.630849995876046e-4,0.047429274803272234,0.043985154235755525,ADORA2B/KLK7/MICB/CFH/PANX1/HLA-DRA/LGALS1/MR1/C3/SMAD7/IRF5/RSAD2/S100A9/TNFRSF1B/CLEC7A/ULBP1/LGALS9/HLA-DRB1/KLK5/NLRP3/NR4A3/CD22/STXBP2/CXCL6/IL23A/KLRC2/PLA2G3/IL7R,28
GO:0051346,negative regulation of hydrolase activity,20/642,252/18986,0.07936507936507936,2.3470800573604307,4.027209411042018,3.8139110877262754e-4,0.04780666799676957,0.0443351426741695,SERPINB8/FICD/CDKN2D/GAS6/A2ML1/TFPI/RARRES1/COL6A3/SERPINF1/PLXNB3/SLPI/LXN/TIMP3/WFDC2/HMSD/PLA2R1/PI3/SERPINA5/IFI16/CST1,20
GO:0072210,metanephric nephron development,7/642,41/18986,0.17073170731707318,5.049084416077807,4.8554249828088,4.0403213330781446e-4,0.04780666799676957,0.0443351426741695,WT1/CD34/RET/OSR1/SIX2/PDGFRB/KIF26B,7
GO:0050729,positive regulation of inflammatory response,15/642,162/18986,0.09259259259259259,2.738260066920503,4.156636982724225,4.0646332549333864e-4,0.04780666799676957,0.0443351426741695,ADORA2B/LGALS1/C3/PTGER4/PDCD4/S100A9/GBP1/NLRP3/TAFA3/CASP1/CAMK2N1/IL23A/GBP2/CREB3L3/PLA2G3,15
GO:0031341,regulation of cell killing,12/642,112/18986,0.10714285714285714,3.168558077436582,4.3059986331346645,4.0779966138976666e-4,0.04780666799676957,0.0443351426741695,MICB/CFH/HLA-DRA/MR1/CLEC7A/ULBP1/LGALS9/HLA-DRB1/CXCL6/IL23A/KLRC2/IL7R,12
GO:0010466,negative regulation of peptidase activity,17/642,198/18986,0.08585858585858586,2.5391138802353757,4.072760463283716,4.1879456605648554e-4,0.0478682189002563,0.04439222400198747,SERPINB8/CDKN2D/GAS6/A2ML1/TFPI/RARRES1/COL6A3/SERPINF1/SLPI/LXN/TIMP3/WFDC2/HMSD/PI3/SERPINA5/IFI16/CST1,17
GO:1903900,regulation of viral life cycle,14/642,146/18986,0.0958904109589041,2.8357871377971233,4.165662639803989,4.4048038883570846e-4,0.04824995042494656,0.04474623573967048,TMPRSS4/RNASEL/LGALS1/HMGA2/OAS2/RSAD2/IL32/CIITA/SLPI/LGALS9/HLA-DRB1/TRIM34/IFI16/TMPRSS2,14
GO:0007411,axon guidance,19/642,236/18986,0.08050847457627118,2.38089392259359,3.993387715537676,4.432410144023962e-4,0.04824995042494656,0.04474623573967048,PTPRJ/L1CAM/CHN1/UNC5A/KLF7/NELL2/IGSF9/NOVA2/MYPN/RET/UNC5B/FLRT3/GLI2/KIF5A/SEMA4G/SEMA3E/BCL11B/SEMA4A/EPHA6,19
GO:0097485,neuron projection guidance,19/642,237/18986,0.08016877637130802,2.370847956675474,3.9728320099061976,4.670525628300022e-4,0.049659635285087676,0.04605355503253975,PTPRJ/L1CAM/CHN1/UNC5A/KLF7/NELL2/IGSF9/NOVA2/MYPN/RET/UNC5B/FLRT3/GLI2/KIF5A/SEMA4G/SEMA3E/BCL11B/SEMA4A/EPHA6,19
