ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0035987,endodermal cell differentiation,5/266,58/21468,0.08620689655172414,6.9574799066632105,5.088693937309622,7.541761171773127e-4,0.03904757637517684,0.034662720944906515,INHBA/NR0B1/COL7A1/MMP2/ITGA5,5
GO:0051481,negative regulation of cytosolic calcium ion concentration,3/266,15/21468,0.2,16.141353383458647,6.570590328257079,7.664297015788843e-4,0.03904757637517684,0.034662720944906515,NOS1/CALCA/KCNK3,3
GO:0070141,response to UV-A,3/266,15/21468,0.2,16.141353383458647,6.570590328257079,7.664297015788843e-4,0.03904757637517684,0.034662720944906515,MMP1/MMP2/MMP3,3
GO:0002062,chondrocyte differentiation,7/266,121/21468,0.05785123966942149,4.668986515876468,4.5332373376716255,7.878224747447188e-4,0.03944545632170109,0.03501592088293678,PKDCC/CCN4/ADAMTS12/ZNF219/SULF1/COMP/OSR1,7
GO:0045669,positive regulation of osteoblast differentiation,6/266,89/21468,0.06741573033707865,5.440905634873701,4.7023065282574565,8.416779473329717e-4,0.04142767388228728,0.03677554492450398,WNT7B/CCN4/FBN2/LTF/GDPD2/NPNT,6
GO:0048705,skeletal system morphogenesis,10/266,240/21468,0.041666666666666664,3.362781954887218,4.122995000132937,8.625590373798773e-4,0.04174785740918606,0.03705977337795298,FOXC2/STC1/MMP13/ALX4/COL13A1/FBN2/MMP2/LTF/COMP/OSR1,10
GO:0042310,vasoconstriction,6/266,91/21468,0.06593406593406594,5.321325291250103,4.6270304581874555,9.458366607747251e-4,0.04429448259062093,0.039320424773245856,AGTR1/CRP/MMP2/COMP/GJA5/ACTA2,6
GO:0032963,collagen metabolic process,7/266,125/21468,0.056,4.519578947368421,4.420343986056881,9.542876442707947e-4,0.04429448259062093,0.039320424773245856,MMP1/INHBA/MMP13/MFAP4/MMP2/MRC2/MMP3,7
GO:0048608,reproductive structure development,12/266,333/21468,0.036036036036036036,2.90835196098354,3.9311312822221747,9.724301943547963e-4,0.04429448259062093,0.039320424773245856,INHBA/TSPY1/PTPRN/TSPY1/NR0B1/SLIT3/MMP2/SYCP2/SULF1/TSPY1/OSR1/ROR2,12
GO:0030199,collagen fibril organization,6/266,92/21468,0.06521739130434782,5.263484798953906,4.5902199222090445,0.001001496138048664,0.04429448259062093,0.039320424773245856,FOXC2/ADAMTS19/ADAMTS12/LUM/PXDN/COMP,6
GO:0033627,cell adhesion mediated by integrin,6/266,92/21468,0.06521739130434782,5.263484798953906,4.5902199222090445,0.001001496138048664,0.04429448259062093,0.039320424773245856,FOXC2/ITGA8/NPNT/PODXL/ITGA5/ITGBL1,6
GO:0006820,monoatomic anion transport,9/266,203/21468,0.04433497536945813,3.578132523426794,4.133887413006942,0.0010066927861504757,0.04429448259062093,0.039320424773245856,STC1/GABRP/GABRA2/GABRG2/GABRQ/SLC12A8/NMUR1/BEST3/CLIC6,9
GO:0002526,acute inflammatory response,7/266,127/21468,0.05511811023622047,4.44840447575632,4.365668538970202,0.0010472953439782434,0.04539321908825103,0.040295778435235165,SAA2/F3/SAA1/CRP/ASS1/DNASE1L3/AHSG,7
GO:0061458,reproductive system development,12/266,337/21468,0.03560830860534125,2.873831462930323,3.8835020038330743,0.0010772305540782089,0.04564912338146255,0.04052294590445186,INHBA/TSPY1/PTPRN/TSPY1/NR0B1/SLIT3/MMP2/SYCP2/SULF1/TSPY1/OSR1/ROR2,12
GO:0061005,cell differentiation involved in kidney development,5/266,63/21468,0.07936507936507936,6.4052989616899385,4.812496862329333,0.0011002837599263136,0.04564912338146255,0.04052294590445186,FOXC2/PODXL/NPHS1/OSR1/ACTA2,5
GO:0010001,glial cell differentiation,11/266,292/21468,0.03767123287671233,3.0403234112678956,3.931937046129428,0.0011003576572666592,0.04564912338146255,0.04052294590445186,OLIG1/HAPLN1/ACAN/MXRA8/LAMA2/VCAN/LAMC3/OLIG2/TRPC4/FGF5/ROR2,11
GO:0072109,glomerular mesangium development,3/266,17/21468,0.17647058823529413,14.242370632463512,6.117930083982348,0.0011246320877168444,0.04599903637647487,0.04083356534942257,FOXC2/PDGFD/ACTA2,3
GO:0003179,heart valve morphogenesis,5/266,64/21468,0.078125,6.305216165413534,4.760841045123501,0.0011816240723325764,0.047658837584080585,0.04230697884711228,ELN/ADAMTS19/SLIT3/GJA5/TIE1,5
