gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log2FoldChange_shrunk,symbol
SH3TC2,2139.6350094077925,1.1004521818578612,0.10102684090251589,10.892671413131918,1.249212270605178e-27,1.9280342184520318e-23,1.0823752751260112,SH3TC2
HNRNPA0,3390.566936123974,-0.7280302201400606,0.07323098118474451,-9.941560366416665,2.744932900926834e-23,2.118264719645238e-19,-0.7139265959453245,HNRNPA0
TMEM265,216.56382679772847,1.12053345641991,0.11895474861412529,9.419829552620754,4.518208752020252e-21,2.3244677959560194e-17,1.0954906949050125,TMEM265
TUBB2B,32375.202918197803,-0.5823521941950944,0.06279843662955105,-9.273354966309098,1.8038092312168137e-20,6.959997918650075e-17,-0.5788524186021251,TUBB2B
C1orf116,781.095736869508,1.3217527038015209,0.1458605879770218,9.061753569852218,1.283699478748694e-19,3.9625235510014693e-16,1.2898311797149469,C1orf116
GRHL2,369.0737245184778,1.8728267837995238,0.20967437704086525,8.932072722622243,4.1810049775257646e-19,1.075493847052211e-15,1.8249995345977366,GRHL2
RNA5-8S5,796.5407976600699,-4.738388634580218,0.5505975754835745,-8.605901743062752,7.571910763322313e-18,1.4608108840139572e-14,-4.595592157591502,RNA5-8S5
SORL1,480.8428201700496,1.5669040066075381,0.18200030405907272,8.609348290423517,7.34770925288223e-18,1.4608108840139572e-14,1.523919427211714,SORL1
GALNT5,130.5102365126023,1.744453931060881,0.20709548591201177,8.423428078978233,3.656255637901662e-17,6.270072168374917e-14,1.694828990336697,GALNT5
TNS4,280.6035647288991,1.7852174836647239,0.22271094752776324,8.015849707801983,1.0937818677837277e-15,1.6881429347374054e-12,1.7282288871755693,TNS4
ANK3,42.15713683725578,1.8195046057714468,0.2281948708240679,7.973468462287375,1.5428199691738186e-15,2.164716673111701e-12,1.7611154270620413,ANK3
EPN3,156.88422640068686,1.4843400539174556,0.18683151082078575,7.9448057096818,1.9449538951473216e-15,2.50153486814198e-12,1.4374177910582222,EPN3
KIAA0040,87.4007638250808,1.4378560986775746,0.18131401209053688,7.93019845570236,2.1879595752860653e-15,2.554450706464371e-12,1.3918508864951582,KIAA0040
MUC4,49.08905225633634,2.427715867280476,0.3067430554171356,7.914493333774286,2.4826202278712948e-15,2.554450706464371e-12,2.3491054628810617,MUC4
UNC45A,2407.2755785242903,-0.40290276239409306,0.05085670029517759,-7.922314268436675,2.331301713688343e-15,2.554450706464371e-12,-0.39061508143245394,UNC45A
