gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log2FoldChange_shrunk,symbol
16008,9146.905912434475,-8.752274970887138,0.22656211999628018,-38.63079569978793,0,0,-8.74026890352859,Igfbp2
14264,5962.840337086917,-8.809761703528396,0.21951673623671547,-40.13252863794588,0,0,-8.798813388243536,Fmod
63913,8027.519112685957,-6.755882373361952,0.135305630427727,-49.93053394751803,0,0,-6.750897591152195,Niban1
12822,4979.875422191993,-6.408743380503012,0.15759793369750622,-40.66514852157876,0,0,-6.399014324399463,Col18a1
11568,2452.610724463884,-5.83539023381498,0.0985224348700675,-59.22905012965584,0,0,-5.832208055542407,Aebp1
20564,1485.1555721182897,-6.890797794763366,0.18310895722668244,-37.632226730627934,0,0,-6.880227256119776,Slit3
12818,6444.39296696455,-8.271448449295375,0.17892914934833817,-46.22750669424226,0,0,-8.264726185606014,Col14a1
110308,27553.095596942658,-8.954804773914308,0.12083230790222918,-74.10935807962917,0,0,-8.951442052109043,Krt5
17880,91460.63672724176,-8.744762833922168,0.21534423069269668,-40.60829865649493,0,0,-8.733347752519954,Myh11
107589,28269.676369031262,-8.34141363577519,0.20675411393440443,-40.34460779059331,0,0,-8.330543981750392,Mylk
11475,140621.08731875313,-8.888279468456902,0.18837979969626528,-47.18276313483689,0,0,-8.879743804644317,Acta2
50706,40155.90087301803,-7.709042067414874,0.12006275323237187,-64.20843983558031,0,0,-7.707416304509038,Postn
22004,33055.234555852185,-8.631864727534868,0.20344262475087543,-42.4289882127945,0,0,-8.621621452990597,Tpm2
12293,2483.8700851455624,-8.378444283229848,0.19486960321091437,-42.99513184804691,0,0,-8.374464289798185,Cacna2d1
11468,5373.954813363439,-8.9590317851675,0.2290931894533454,-39.10649551191481,0,0,-8.94500919407864,Actg2
75767,1891.6217046235568,3.197635665686633,0.07792800315769795,41.03320418997239,0,0,3.194510018875527,Rab11fip1
12560,4124.454847930433,-7.12961380571541,0.13068986443882394,-54.553685829652,0,0,-7.123663916390455,Cdh3
12797,21595.404895261036,-9.006602912956053,0.20311596958035472,-44.342170295935055,0,0,-8.998723266462033,Cnn1
12836,9036.500246653457,-7.181688299904159,0.16835070317002165,-42.659092980747396,0,0,-7.1735991865577065,Col7a1
12739,2609.9567666799453,4.71026358142247,0.12803333996739177,36.789351762768234,2.732586708721096e-296,2.516439100061257e-293,4.703428980422751,Cldn3
16450,2890.9273565794015,-6.453131439649519,0.17733714858732572,-36.38905604976399,6.341806561299131e-290,5.562066345047971e-287,-6.443383779461499,Jag2
57266,27933.65076100674,-8.559152723499126,0.2380066308691174,-35.96182464431381,3.3073404808243333e-283,2.768845317082844e-280,-8.545327607063163,Cxcl14
55987,1425.1567368202698,-8.025706341450105,0.22547425845277533,-35.594778741144225,1.6873443571918369e-277,1.3511960161199674e-274,-8.017709834687379,Cpxm2
12821,11448.995672698611,-7.675647247778704,0.21602450136558657,-35.5313735213253,1.6116130311086404e-276,1.2367787002899558e-273,-7.66304599279629,Col17a1
52377,1283.0965384930603,-7.000237981616184,0.19703092810110573,-35.52862512033662,1.7770656231897594e-276,1.3091997859163596e-273,-6.989593061958909,Rcn3
12759,16824.897439852477,3.657269294119727,0.10391265776488257,35.1956092047499,2.3340109156267964e-271,1.653377424769782e-268,3.655579400222879,Clu
22061,3418.1436313109875,-8.038699216390633,0.23059610247167264,-34.86051641908448,2.950176033313454e-266,2.012457117835822e-263,-8.024214647886895,Trp63
98932,20271.850302866937,-8.38171940354699,0.24119457234682276,-34.75086243439425,1.3450382813864548e-264,8.847469666634188e-262,-8.3622633065448,Myl9
13388,8435.046624628032,-7.17982671388113,0.20998818335023373,-34.19157497022624,3.226055391651893e-256,2.0488789035670542e-253,-7.166815941600527,Dll1
14314,3703.108163480157,-6.348813413254395,0.1891028579325065,-33.57333401867663,4.111264770201646e-247,2.524042484585797e-244,-6.3375716308712855,Fstl1
54216,1305.710119220426,-7.928987388156794,0.23855709799572153,-33.237272983170676,3.117615280075061e-242,1.8522657493039508e-239,-7.904338203826066,Pcdh7
20692,20847.42228126636,-6.228613359207469,0.1877983131482892,-33.16650322779648,3.274942892260976e-241,1.8849343184269578e-238,-6.217133351525886,Sparc
16950,583.5204902339913,-5.1526433628187815,0.15660695862739035,-32.90175231024243,2.074614979413616e-237,1.157886626995151e-234,-5.143778587166019,Loxl3
433926,415.5278554110571,3.075010818039753,0.09439808497000844,32.57492796614175,9.2913719147079e-233,5.03319082132618e-230,3.0688869595273705,Lrrc8b
21814,6575.180325457768,-4.256201879132209,0.13491147675389462,-31.548108296941763,1.9034623286831112e-218,1.0016562619910154e-215,-4.24820585892765,Tgfbr3
74525,584.9134262478493,3.2622932105847164,0.10734269515282788,30.39138532845729,7.139141139762662e-203,3.652463930893019e-200,3.256592597092001,Fam234b
16009,5356.764784229162,-7.316677003882677,0.24126550235537525,-30.32624611663494,5.169095540733618e-202,2.573091937006264e-199,-7.300346555039748,Igfbp3
14748,1177.6210067293955,-3.220969831143069,0.10843807105248628,-29.70331176016634,6.958494587892691e-194,3.37267245578441e-191,-3.2146759366920707,Gpr3
11931,1633.3080783013902,3.7671036378183285,0.1281624387744837,29.39319564952235,6.70922693099832e-190,3.168475426028899e-187,3.7603208099819136,Atp1b1
545370,1342.0409175307677,-7.253610067102415,0.24779281557512967,-29.272882873003045,2.2968648489485154e-188,1.0575914196983438e-185,-7.236160391580067,Hmcn1
21345,53015.16163327816,-7.349008539225965,0.2518606352311741,-29.178869228534133,3.595921980897391e-187,1.6153583181504427e-184,-7.330063127733294,Tagln
13717,6454.331206633502,-6.075628316696473,0.2083985580047474,-29.15388846672378,7.457746366913742e-187,3.2703993472813645e-184,-6.061053812012018,Eln
54357,2668.2325852792105,1.6676729958933516,0.05720494746921833,29.152600774447304,7.743375838525982e-187,3.3166859579993383e-184,1.6659143059098676,Epb41l4b
24117,2417.710683949225,-9.059100265533695,0.311858386640058,-29.04876268724357,1.5951799483594623e-185,6.677278247473767e-183,-9.037257731705578,Wif1
58250,1091.4561717668714,-6.850574010433066,0.2380536948733335,-28.777431974236748,4.110746687222704e-182,1.6824829441170613e-179,-6.835482648370326,Chst11
237979,830.7129888235894,-8.206376569824029,0.2863669626097569,-28.656855158977148,1.3168531003704478e-180,5.272565304918023e-178,-8.187393177716778,Sdk2
100689,4500.481542935583,-7.768127565496395,0.27263063607450366,-28.493230538381408,1.421009374895633e-178,5.5685426950697374e-176,-7.748140629079846,Spon2
71943,673.7310064501711,2.549925130889876,0.09019530115338091,28.271152690688627,7.822925333733612e-176,3.0017216415980345e-173,2.545084378631054,Tom1l1
