ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,205/6769,333/28928,0.6156156156156156,2.6308950404090012,16.5440545897593,1.8601035652590553e-50,1.2080731185043932e-46,5.0807544757180725e-47,Col18a1/Aebp1/Col14a1/Myh11/Postn/Col7a1/Col17a1/Loxl3/Tgfbr3/Hmcn1/Eln/Ltbp4/Matn4/Col4a2/Spock2/Pdpn/Vwa1/Plod2/Crtap/Col5a1/Adamts1/Col5a2/Col16a1/Lama1/Matn2/Adamts18/Adamts2/Col4a1/Col6a1/Lamb1/Col23a1/Lcp1/Col15a1/Adamts20/Sulf1/Fscn1/Hspg2/Fbln1/Mmp17/Mpzl3/Col27a1/Antxr1/Ddr2/P4ha1/Spint1/Has2/Wdr72/Mmp2/Sema5a/Lamc1/Tnfrsf1a/Dag1/Egfl6/Il6/Mmp23/Tie1/Adamts4/Olfml2a/Mmp16/Fkbp10/Fn1/Col6a4/Ecm2/Serpinh1/Adamts9/Thsd4/Ptx3/Prdm5/Col4a5/Scx/Npnt/Reck/Has1/Tnf/Tmem38b/Ntn4/Col9a3/Pmp22/P3h1/Itgb1/Eng/Col2a1/Pbxip1/Lgals3/Lamb3/Elf3/Col4a6/Col9a2/Fbln5/Apbb1/Fgfr4/Tnfrsf11b/Antxr2/Sulf2/Abl2/Pxdn/Aplp2/Loxl1/Foxf1/Mad2l2/Optc/Fermt1/Ramp2/Nphp3/Cav1/Scara3/Slc2a10/Apbb2/Exoc8/Adamtsl1/Loxl2/Col4a3/Hsd17b12/Phldb2/Col5a3/Vtn/Abi3bp/Lamb2/Adamtsl2/Col11a1/Adamts10/Mia/Idua/Mansc4/Col4a4/B4galt1/Tcf15/Chadl/Cyp1b1/Adamts15/Adamts17/Tgfbi/Itgb3/Ccn2/Ets1/Creb3l1/App/Serpinb5/Lox/Axin2/Efemp2/Pparg/Foxc2/Adamts14/Rb1/Kazald1/Plod1/Grem1/Clasp1/Dpp4/Tnxb/Flrt2/Mmp24/Qsox1/Has3/Crispld2/Aplp1/Col3a1/Mmp14/Col8a2/Meltf/Mmp11/P3h4/Vit/Col1a1/Col1a2/Phldb1/Lama2/Gas6/Gfod2/Lmx1b/Col13a1/Ier3ip1/Nid1/Adamts12/Rgcc/Ndnf/Prdx4/Papln/Cyp2j6/Col10a1/Mmp15/Col9a1/Itga8/Dpt/Adamts7/Angptl7/Agt/Ext1/Loxl4/Ccdc80/Comp/Cst3/Smoc2/Mkx/Adamtsl4/Gfap/Zfp469/Ctss/Smoc1/P4ha3/Gas2/Col8a1/Hpse2/Mmp28,205
GO:0045229,external encapsulating structure organization,205/6769,334/28928,0.6137724550898204,2.6230181091502915,16.48914050477297,3.7171480569365944e-50,1.2080731185043932e-46,5.0807544757180725e-47,Col18a1/Aebp1/Col14a1/Myh11/Postn/Col7a1/Col17a1/Loxl3/Tgfbr3/Hmcn1/Eln/Ltbp4/Matn4/Col4a2/Spock2/Pdpn/Vwa1/Plod2/Crtap/Col5a1/Adamts1/Col5a2/Col16a1/Lama1/Matn2/Adamts18/Adamts2/Col4a1/Col6a1/Lamb1/Col23a1/Lcp1/Col15a1/Adamts20/Sulf1/Fscn1/Hspg2/Fbln1/Mmp17/Mpzl3/Col27a1/Antxr1/Ddr2/P4ha1/Spint1/Has2/Wdr72/Mmp2/Sema5a/Lamc1/Tnfrsf1a/Dag1/Egfl6/Il6/Mmp23/Tie1/Adamts4/Olfml2a/Mmp16/Fkbp10/Fn1/Col6a4/Ecm2/Serpinh1/Adamts9/Thsd4/Ptx3/Prdm5/Col4a5/Scx/Npnt/Reck/Has1/Tnf/Tmem38b/Ntn4/Col9a3/Pmp22/P3h1/Itgb1/Eng/Col2a1/Pbxip1/Lgals3/Lamb3/Elf3/Col4a6/Col9a2/Fbln5/Apbb1/Fgfr4/Tnfrsf11b/Antxr2/Sulf2/Abl2/Pxdn/Aplp2/Loxl1/Foxf1/Mad2l2/Optc/Fermt1/Ramp2/Nphp3/Cav1/Scara3/Slc2a10/Apbb2/Exoc8/Adamtsl1/Loxl2/Col4a3/Hsd17b12/Phldb2/Col5a3/Vtn/Abi3bp/Lamb2/Adamtsl2/Col11a1/Adamts10/Mia/Idua/Mansc4/Col4a4/B4galt1/Tcf15/Chadl/Cyp1b1/Adamts15/Adamts17/Tgfbi/Itgb3/Ccn2/Ets1/Creb3l1/App/Serpinb5/Lox/Axin2/Efemp2/Pparg/Foxc2/Adamts14/Rb1/Kazald1/Plod1/Grem1/Clasp1/Dpp4/Tnxb/Flrt2/Mmp24/Qsox1/Has3/Crispld2/Aplp1/Col3a1/Mmp14/Col8a2/Meltf/Mmp11/P3h4/Vit/Col1a1/Col1a2/Phldb1/Lama2/Gas6/Gfod2/Lmx1b/Col13a1/Ier3ip1/Nid1/Adamts12/Rgcc/Ndnf/Prdx4/Papln/Cyp2j6/Col10a1/Mmp15/Col9a1/Itga8/Dpt/Adamts7/Angptl7/Agt/Ext1/Loxl4/Ccdc80/Comp/Cst3/Smoc2/Mkx/Adamtsl4/Gfap/Zfp469/Ctss/Smoc1/P4ha3/Gas2/Col8a1/Hpse2/Mmp28,205
GO:0043062,extracellular structure organization,205/6769,335/28928,0.6119402985074627,2.6151882043468575,16.43442643824727,7.393059224597983e-50,1.601829498662896e-46,6.736763089923145e-47,Col18a1/Aebp1/Col14a1/Myh11/Postn/Col7a1/Col17a1/Loxl3/Tgfbr3/Hmcn1/Eln/Ltbp4/Matn4/Col4a2/Spock2/Pdpn/Vwa1/Plod2/Crtap/Col5a1/Adamts1/Col5a2/Col16a1/Lama1/Matn2/Adamts18/Adamts2/Col4a1/Col6a1/Lamb1/Col23a1/Lcp1/Col15a1/Adamts20/Sulf1/Fscn1/Hspg2/Fbln1/Mmp17/Mpzl3/Col27a1/Antxr1/Ddr2/P4ha1/Spint1/Has2/Wdr72/Mmp2/Sema5a/Lamc1/Tnfrsf1a/Dag1/Egfl6/Il6/Mmp23/Tie1/Adamts4/Olfml2a/Mmp16/Fkbp10/Fn1/Col6a4/Ecm2/Serpinh1/Adamts9/Thsd4/Ptx3/Prdm5/Col4a5/Scx/Npnt/Reck/Has1/Tnf/Tmem38b/Ntn4/Col9a3/Pmp22/P3h1/Itgb1/Eng/Col2a1/Pbxip1/Lgals3/Lamb3/Elf3/Col4a6/Col9a2/Fbln5/Apbb1/Fgfr4/Tnfrsf11b/Antxr2/Sulf2/Abl2/Pxdn/Aplp2/Loxl1/Foxf1/Mad2l2/Optc/Fermt1/Ramp2/Nphp3/Cav1/Scara3/Slc2a10/Apbb2/Exoc8/Adamtsl1/Loxl2/Col4a3/Hsd17b12/Phldb2/Col5a3/Vtn/Abi3bp/Lamb2/Adamtsl2/Col11a1/Adamts10/Mia/Idua/Mansc4/Col4a4/B4galt1/Tcf15/Chadl/Cyp1b1/Adamts15/Adamts17/Tgfbi/Itgb3/Ccn2/Ets1/Creb3l1/App/Serpinb5/Lox/Axin2/Efemp2/Pparg/Foxc2/Adamts14/Rb1/Kazald1/Plod1/Grem1/Clasp1/Dpp4/Tnxb/Flrt2/Mmp24/Qsox1/Has3/Crispld2/Aplp1/Col3a1/Mmp14/Col8a2/Meltf/Mmp11/P3h4/Vit/Col1a1/Col1a2/Phldb1/Lama2/Gas6/Gfod2/Lmx1b/Col13a1/Ier3ip1/Nid1/Adamts12/Rgcc/Ndnf/Prdx4/Papln/Cyp2j6/Col10a1/Mmp15/Col9a1/Itga8/Dpt/Adamts7/Angptl7/Agt/Ext1/Loxl4/Ccdc80/Comp/Cst3/Smoc2/Mkx/Adamtsl4/Gfap/Zfp469/Ctss/Smoc1/P4ha3/Gas2/Col8a1/Hpse2/Mmp28,205
GO:0031589,cell-substrate adhesion,215/6769,377/28928,0.5702917771883289,2.4371990737928764,15.524435518989904,3.449504945054503e-45,5.6054455357135673e-42,2.3574643006069858e-42,Postn/Itga1/Spock2/Pdpn/Axl/Lrp1/Itga9/Lgals1/Mdk/Col16a1/Pcsk5/Prex1/Lamb1/Plet1/Hacd1/Spp1/Utrn/Vwa2/Fzd7/Fbln1/Fat2/Antxr1/Dbn1/Vcam1/Cib1/Srcin1/Has2/Ephb1/Ptk2b/Akip1/Pkp2/Kdr/Cdh13/Sorbs1/Lamc1/Atp1b2/Dag1/Epb41l5/Dlc1/Egfl6/Fgb/Cntn2/Muc4/Flna/Jag1/Fn1/Itgb7/Ecm2/Thy1/Adamts9/Tiam1/Actn1/Angpt1/Cdh11/Bcam/Rsu1/Bves/Parva/Npnt/Itga3/Lims2/Pecam1/Smad6/Ntn4/Itgb1/Tek/Cd34/Frem1/Fbln2/Enpp2/Ilk/Lamb3/Ppm1f/Prkcz/Adam8/Marcks/Gfus/Npy/Foxf1/Olfm4/Cdk6/Fermt1/Spry4/Tyro3/Bst1/Dock5/Itga5/Camsap3/Cd3e/Hsd17b12/Phldb2/Col5a3/Vtn/Abi3bp/Lamb2/Jam3/Otoa/Fermt2/Itga7/Pik3cb/Tmem8b/Itga6/Mia/Sned1/Angpt2/Thbs1/Parvb/Rreb1/Tnn/Dmtn/Itga11/Epdr1/Plau/Macf1/Emp2/Rras/Itgb3/Ccn2/Bcl2l11/Csf1/Kank1/Msln/Madcam1/Wdpcp/Efemp2/Zyx/Rhpn1/Ajuba/Vcl/Itgav/Thsd1/Ston1/Grem1/Clasp1/Tnxb/Alox15/Itga2b/Fmn1/Col3a1/Mmp14/Meltf/Vit/Col1a1/Nexmif/Gas6/Itgb2/Micall2/Myadm/Dmd/Edil3/Col13a1/Dab2/Ephb3/Itgb2l/Tecta/Sirpa/Nid1/Adamts12/Itgb8/Cd63/Gcnt2/Ndnf/Actn2/Ptprz1/Epha1/Efna5/Triobp/Srf/Mslnl/Eda/Spag6l/Bcl2/Serpine1/Ttyh1/Itga8/Itgae/Tnfrsf12a/Prkce/Hoxa7/S100a10/Coro1a/Agt/Agr2/Ccdc80/Coro1c/Smoc2/Disc1/Fgg/Vwc2/Zfp469/Sec1/Nid2/Cd36/Spock1/P4hb/Itga2/Ptn/Smoc1/Itgbl1/Fut1/Hoxd3/Col8a1/Ccl25/Coro2b/Tacstd2/Muc21/Ccl28/Wnt4/Svep1/Actn3/Radil/St6gal1/Angptl3/Parvg/Limch1,215
GO:0003012,muscle system process,238/6769,460/28928,0.5173913043478261,2.2111236005575288,14.471974228090206,3.2658304790741296e-40,4.245579622796368e-37,1.7855498429801084e-37,Col14a1/Myh11/Mylk/Acta2/Tpm2/Cacna2d1/Atp1b1/Cacna1c/Abat/Irag1/Kit/Cacna1d/Asb2/Casq2/Col6a1/Slc8a1/Calm2/Nr4a3/Cacna1g/Map2k6/Scn5a/Mef2c/Tbx2/Sulf1/Cald1/Zc3h12a/Mef2a/Htr1d/Anxa6/Dbn1/Homer1/Arg2/Smtn/Pkp2/Tpm1/Kcnn4/Edn1/Ryr3/P2rx4/Scnn1b/Pde9a/Kcnh2/Lmod1/Tnfrsf1a/Dag1/Agrn/Slc25a4/Trpv4/Flna/Kcnj2/Adra1a/Synm/Kcnma1/Hdac4/Scn1b/Rgs4/Oxtr/Tiam1/Nfatc1/Prkg1/Flt1/Lep/Smad1/Npnt/Calca/Gucy1a1/Tnf/Adora2b/Lck/Tmem38b/Tshz3/Ednrb/Ank2/Trim72/Camk2g/Pde4d/Hcn4/Cacnb1/Kcne4/Stac2/Foxp1/Snta1/Atp1a1/Tead1/Rcsd1/Tmod3/Abcc9/Atp2b4/Myl6/Apbb1/Kcnq1/Tmod2/Kcne5/Prkd1/Sulf2/Ptgs2/Atp2a2/Calcrl/Nppc/Akap6/G6pdx/Cyba/Cav1/Sphk1/Apbb2/Scn4b/Dock5/Kcnj8/Atp1a2/Ccn4/Dsp/Nos3/Fbxo32/Kcna1/Arhgap42/Gdnf/Rgs2/Slc9a1/Myl4/G6pd2/Myom1/Bdkrb2/Myh2/Cd38/Npy1r/Igfbp5/Errfi1/Adora1/Ptafr/Ryr2/Nr4a1/Smad7/Fxyd1/Ece1/Cacna1h/Gatm/P2rx1/Sgca/Stac/Trpc3/Ccn2/Gsn/Prkag3/Cav3/Ednra/Tbxa2r/Myom2/Bmp4/Pparg/Kcne2/Gja5/Pla2g6/P2rx3/Mlip/P2ry1/Prkca/Fkbp1b/Pawr/Myocd/Ar/Ada/Tacr3/Htr2a/Chrm3/Chrnb1/Mylk2/Mybpc3/Kcna5/Kcnip1/Chrnb4/Tpm4/Edn2/Bin1/Chrnb2/Scn1a/Lmcd1/Actc1/Nedd4l/Dmd/Ctnna3/Pde5a/Dmpk/Hrc/Atp8a2/Bbs2/F2r/Actn2/Acta1/Srf/Ormdl3/Klf4/Cacnb2/Stc1/Ryr1/Casq1/P2rx2/Abcc8/Tnnt1/Htr7/Kcnd2/Agt/Rem1/Adcy10/Mybpc1/Kcnn2/Tnni1/Comp/Pln/Myh1/Gata6/Tbx3/Acacb/Hamp/Tmod1/Neurog1/Mylpf/Itga2/Kcnj5/Aif1/Meis1/Oxt/Jsrp1/Adra2b/Tnni2/Mybpc2/Sorbs2/Myh3/Htr2b/Klk1b1/Hamp2/Kbtbd13/Actn3/Nppa/Myoz2/Scn4a/Ptgs1/Kcne3/Tnnc1,238
GO:0006936,muscle contraction,186/6769,329/28928,0.5653495440729484,2.416077945182782,14.27738136231216,1.5527689614593367e-38,1.6821663749142814e-35,7.074633320894558e-36,Myh11/Mylk/Acta2/Tpm2/Cacna2d1/Atp1b1/Cacna1c/Abat/Irag1/Kit/Cacna1d/Casq2/Slc8a1/Calm2/Cacna1g/Map2k6/Scn5a/Tbx2/Sulf1/Cald1/Zc3h12a/Htr1d/Anxa6/Dbn1/Homer1/Arg2/Smtn/Pkp2/Tpm1/Edn1/Ryr3/P2rx4/Scnn1b/Kcnh2/Lmod1/Agrn/Trpv4/Flna/Kcnj2/Adra1a/Synm/Kcnma1/Hdac4/Scn1b/Oxtr/Prkg1/Flt1/Npnt/Calca/Gucy1a1/Tnf/Adora2b/Lck/Tmem38b/Tshz3/Ednrb/Ank2/Pde4d/Hcn4/Cacnb1/Kcne4/Stac2/Snta1/Atp1a1/Rcsd1/Tmod3/Abcc9/Atp2b4/Myl6/Apbb1/Kcnq1/Tmod2/Kcne5/Prkd1/Sulf2/Ptgs2/Atp2a2/Calcrl/Akap6/Cav1/Sphk1/Apbb2/Scn4b/Dock5/Kcnj8/Atp1a2/Dsp/Kcna1/Arhgap42/Gdnf/Rgs2/Slc9a1/Myl4/Myom1/Bdkrb2/Myh2/Cd38/Npy1r/Adora1/Ptafr/Ryr2/Nr4a1/Smad7/Fxyd1/Cacna1h/P2rx1/Stac/Ccn2/Gsn/Cav3/Ednra/Tbxa2r/Myom2/Kcne2/Gja5/Pla2g6/P2rx3/Prkca/Fkbp1b/Pawr/Myocd/Ada/Tacr3/Htr2a/Chrm3/Chrnb1/Mylk2/Mybpc3/Kcna5/Kcnip1/Chrnb4/Tpm4/Edn2/Bin1/Chrnb2/Scn1a/Actc1/Nedd4l/Dmd/Ctnna3/Pde5a/Dmpk/Atp8a2/Bbs2/F2r/Actn2/Srf/Ormdl3/Cacnb2/Stc1/Ryr1/Casq1/P2rx2/Tnnt1/Htr7/Kcnd2/Agt/Rem1/Adcy10/Mybpc1/Kcnn2/Tnni1/Comp/Pln/Myh1/Tbx3/Tmod1/Neurog1/Mylpf/Itga2/Kcnj5/Oxt/Jsrp1/Adra2b/Tnni2/Mybpc2/Myh3/Htr2b/Klk1b1/Kbtbd13/Actn3/Nppa/Scn4a/Ptgs1/Kcne3/Tnnc1,186
GO:0072001,renal system development,206/6769,390/28928,0.5282051282051282,2.257337560750177,13.816921886680184,1.179821692761086e-36,1.0955487147067227e-33,4.607514189624874e-34,Acta2/Dll1/Dchs1/Bmp7/Tiparp/Adamts1/Fbn1/Wnt11/Col4a1/Prdm1/Pcsk5/Ctsh/Crlf1/Mpst/Spp1/Pkd2/Aph1a/Mef2c/Yap1/Wnt6/Sulf1/Vcan/Lrp4/Mmp17/Snx17/Epha4/Osr1/Pkd1/Has2/Spry1/Podxl/Erbb4/Arg2/Eya1/Lrrk2/Arl3/Pdgfrb/Basp1/Cdkn1c/Edn1/Plxnd1/Epcam/Serpinf1/Slit2/Pgf/Slc5a1/Kirrel3/Ptk7/Maged1/Jag1/Aqp1/Gdf11/Sox8/Angpt1/Efnb2/Notch3/Smad1/Npnt/Itga3/Sgpl1/Smad6/Lgr5/Tshz3/Gpc3/Ednrb/Cited1/Kank2/Robo1/Hes1/Tek/Cd34/Foxj1/Fras1/Dync2h1/Fat4/Ilk/Npr2/Magi2/Pygo1/Prom1/Lif/Gfra1/Sulf2/Ap1b1/Tns2/Bdnf/Foxf1/Cplane1/Fgf2/Pax8/Gli3/Schip1/Enpep/Sox11/Enpp1/Nphp3/Nkx3-1/Mme/Gdf6/Sox17/Cyp26b1/C1galt1/Kcnj8/Arid5b/Prox1/Frem2/Col4a3/Lamb2/Flcn/Gdnf/Fgf1/Upk3a/Nog/Rdh10/Tmem59l/Pdgfa/Fadd/Col4a4/Hs3st3a1/Angpt2/Smad9/Agtr1a/Irx3/Robo2/Zbtb14/Bicc1/Epha7/Glis2/Egr1/Pbx1/Ovol1/Smad7/Gatm/Hpgd/Itgb3/Cd44/Bcl2l11/Wnk4/Fgfr1/Cys1/Bmp6/Wdpcp/Ednra/Mecom/Cc2d2a/Ahr/Commd5/Rhpn1/Hmgcs2/Bmp4/Pcsk9/Foxc2/Grem1/Nphs2/Gli2/Cd24a/Myocd/Rarb/Gsta3/Id3/Fmn1/Invs/Ctns/Cyp4a32/Tfap2b/Mtss1/Ass1/Nid1/Fgfr2/Cfh/Ttc8/Tmem67/Anks6/Bcl2/Rara/Itga8/Dlg5/Aqp11/Agt/Sec61a1/Ext1/Gpr4/Hes5/Rbp4/Pdgfd/Timeless/Ace/Lrp2/Gcnt1/Hs3st3b1/Hells/Ren1/Lgr4/Klhl3/Tbx18/BC028528/Gcnt4/Osr2/Tacstd2/Rgn/Hey1/Ret/Wnt4/Adipoq/Foxd1/Aldh1a2,206
GO:0050678,regulation of epithelial cell proliferation,221/6769,432/28928,0.5115740740740741,2.186263083884594,13.729977133963025,1.916458840465388e-36,1.5571228078781276e-33,6.548741590379754e-34,Col18a1/Cdh3/Trp63/Sparc/Tgfbr3/Snai2/Mdk/Gas1/Gja1/Ccnd2/Apoe/Ptprm/Cldn1/Zfp36l1/Ccl2/Nr4a3/Scn5a/Mef2c/Ceacam1/Marveld3/Yap1/Sulf1/Hspg2/Fzd7/Rian/Atoh8/Cyp7b1/Osr1/Ceacam2/Htra1/Nupr1/Vash1/Cd109/Has2/Erbb4/Eya1/Vash2/Kdr/Cdkn1c/Cdh13/Bcl11b/Sema5a/Serpinf1/Pgf/Il6/Maged1/Tie1/Jag1/Nfatc1/Efnb2/Tgfa/Flt1/Fgfr3/Rbpj/Lep/Mmrn2/Lims2/Tnf/Adora2b/Gpc3/Ednrb/Esrp2/Ift80/Robo1/Plcg1/Hes1/Bnc1/Gpr15lg/Slc39a9/Tek/Eng/Dlk1/Ift122/Foxp1/Vegfc/Dysf/Mycn/Ift172/Ngfr/Hyal1/Prkd1/Arg1/Sulf2/Zeb1/Esrp1/Xdh/Fgf2/Ctsl/Cdk6/Sox11/Cxcl12/Cyba/Nkx3-1/Cav1/Ppp1r16b/Egr3/Ang/Ift57/Nr2f2/Egfr/Pex2/Zfp580/Prox1/Irs2/Bid/Col4a3/Flcn/Egfl7/Aplnr/Fgf1/Erbb2/Nog/Dll4/Ang5/Agtr1a/Errfi1/B4galt1/Thbs1/Etv4/Rreb1/Stxbp4/Nr4a1/Ovol1/Plau/Twist1/Runx2/Eaf2/Krit1/Itgb3/Esr1/Fgfr1/Lrg1/Azin1/Serpinb5/Bmp6/Ccl11/Ednra/Akt3/Bmp4/Pparg/Xbp1/Ift74/Hlx/Krt4/Sfn/Gpx1/Rb1/Prkca/Ang4/Gli2/Tnfaip3/Ar/Jaml/Apln/Prkd2/Gli1/Itpr1/Grn/Tgm1/Cdh1/Gdf5/Birc5/Mcc/Stat5a/Eppk1/Rap1gap/Pik3cd/Nme1/Twist2/Mydgf/Prok1/Mtss1/Dab2/Plxnb3/Agap2/Vdr/Fgfr2/Rgcc/Nod2/Pdcl3/Fgf18/Iqgap3/Egf/Hmox1/Il10/Fgf9/Cdc25a/Flt4/Aqp11/Hes5/Glul/Reg3g/Jcad/Odam/Fgfbp1/Uhrf1/Nlrc3/Gkn3/Ccl5/Wnt10b/Hoxa5/Dusp10/Ptn/Tbx18/Fut1/Htr2b/Thbs4/Cnmd/Osr2/Tacstd2/Rgn/Hey1/Tmigd1/Bmp5/C5ar1/Alox5/Fa2h/Esr2/Igf2/Aldh1a2/Runx3,221
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,141/6769,231/28928,0.6103896103896104,2.6085611832398654,13.566386993884471,1.6478498535822884e-34,1.1901137831427637e-31,5.00522347339556e-32,Cdh3/Cldn3/Hmcn1/Sdk2/Dchs1/Nexn/Lgals1/Clstn1/Nectin3/Sdk1/Ptprm/Cldn1/Cldn8/Cadm4/Tenm2/Pcdh18/Nectin4/Tenm3/Ceacam1/Cldn4/Nrg1/Ntng2/Fat2/Ceacam2/Dsc3/Vcam1/Sparcl1/Lrrc4/Ptprs/Cdh13/Epcam/Palld/Esam/Cldn6/Cldn7/Celsr1/Kirrel3/Cdh5/Nptn/Adgrl1/Mbp/Pcdhgc3/Pcdhb6/Cdh2/Cdh11/Cdh23/Tenm4/Cdh10/Cadm1/Itga3/Pecam1/Pcdhb8/Robo1/Selp/Cdh6/Nrcam/Sele/Fgfrl1/Fat4/Fat3/Magi2/Amigo1/Nrxn1/Mpz/Nectin1/Pcdh19/Cldn5/Scarf2/Pcdh10/Lrfn5/Lgals9/Gpc4/Cd177/Nectin2/Mcam/Itga5/Clstn3/Ptprd/Nlgn1/Elfn1/Acvr1/Pik3cb/Pcdh17/Il1rn/Robo2/Prtg/Kifap3/Lrrc4c/Cdhr2/Cadm3/Cldn10/Adgrl3/Ptprt/Cdhr1/Ajuba/Mdga2/Unc5d/Cd24a/Tnfaip3/Cx3cl1/Mmp24/Jaml/Lrrc4b/Mdga1/Dsg3/Cdh1/Ntng1/Lrfn3/Igsf9b/Cdh4/Atp2c1/Myadm/Cldn23/Pcdh12/Cd164/Pcdhga4/Plxnb3/Cldn22/Efna5/Klf4/Cldn17/Amigo2/Il10/Amigo3/Cldn15/Dsc1/Celsr3/Cdh17/Pcdh8/Dscaml1/Pcdhga12/Emb/Alcam/Clstn2/Cldn9/Ret/Cplane2/Pcdha10/Adipoq/Igsf21/Cdh19,141
GO:0001822,kidney development,196/6769,375/28928,0.5226666666666666,2.2336683902102723,13.290064063451272,4.159821857823058e-34,2.467459827196559e-31,1.0377316876484965e-31,Acta2/Dll1/Dchs1/Bmp7/Tiparp/Adamts1/Fbn1/Wnt11/Prdm1/Pcsk5/Ctsh/Crlf1/Mpst/Spp1/Pkd2/Aph1a/Mef2c/Yap1/Wnt6/Sulf1/Vcan/Lrp4/Mmp17/Snx17/Epha4/Osr1/Pkd1/Has2/Spry1/Podxl/Erbb4/Arg2/Eya1/Lrrk2/Arl3/Pdgfrb/Basp1/Cdkn1c/Edn1/Plxnd1/Epcam/Serpinf1/Slit2/Pgf/Slc5a1/Kirrel3/Ptk7/Maged1/Jag1/Aqp1/Gdf11/Sox8/Angpt1/Efnb2/Notch3/Smad1/Npnt/Itga3/Sgpl1/Smad6/Tshz3/Gpc3/Ednrb/Cited1/Kank2/Robo1/Hes1/Tek/Cd34/Foxj1/Fras1/Dync2h1/Fat4/Ilk/Magi2/Pygo1/Prom1/Lif/Gfra1/Sulf2/Ap1b1/Tns2/Bdnf/Cplane1/Fgf2/Pax8/Gli3/Schip1/Enpep/Sox11/Enpp1/Nphp3/Nkx3-1/Mme/Gdf6/Sox17/Cyp26b1/C1galt1/Kcnj8/Arid5b/Prox1/Frem2/Col4a3/Lamb2/Flcn/Gdnf/Fgf1/Upk3a/Nog/Rdh10/Tmem59l/Pdgfa/Fadd/Col4a4/Hs3st3a1/Angpt2/Smad9/Agtr1a/Irx3/Robo2/Zbtb14/Bicc1/Epha7/Glis2/Egr1/Pbx1/Ovol1/Smad7/Gatm/Hpgd/Itgb3/Cd44/Bcl2l11/Wnk4/Fgfr1/Cys1/Bmp6/Wdpcp/Ednra/Cc2d2a/Ahr/Commd5/Rhpn1/Hmgcs2/Bmp4/Pcsk9/Foxc2/Grem1/Nphs2/Gli2/Cd24a/Rarb/Gsta3/Id3/Fmn1/Invs/Ctns/Cyp4a32/Tfap2b/Mtss1/Ass1/Nid1/Fgfr2/Cfh/Tmem67/Anks6/Bcl2/Rara/Itga8/Dlg5/Aqp11/Agt/Sec61a1/Ext1/Gpr4/Hes5/Pdgfd/Timeless/Ace/Lrp2/Gcnt1/Hs3st3b1/Hells/Ren1/Lgr4/Klhl3/Gcnt4/Osr2/Tacstd2/Rgn/Hey1/Ret/Wnt4/Adipoq/Foxd1/Aldh1a2,196
